name,description,imageUrl,landrace,breederId,id,isVerified,isUnknown,isAutoflower
The Snow Miser,Snowcaine x bandit breath x gods gift,,,3,1,false,true,false
Bubba Kush (2.5),Bubba Kush 2.0 x Death Bubba,,,4,2,false,true,false
Hulk Smash,Bruce Banner 3 x Strawberry Diesel,,,5,3,false,true,false
Citrus Bubblegum Auto,Granite Haze x Bubblegum,,,6,4,false,true,true
"Supreme Runtz Auto ",(Gucci x Blue Dream x Gorilla glue) x Forbidden Runtz,,,6,5,false,true,true
