name,country,state,website,isVerified,id
Fresh Coast Seed Co,United States,Michigan,,,1
UFO Genetics,United States,Massachusetts,,,2
Tackett Genetics,United States,Illinois,,,3
34 Street Seed Co,Canada,,,,4
Darkhorse Genetics,United States,Colorado,,,5
Speedrun Seeds,United States,Washington,,,6
Irvine Seeds,United States,California,,,7
